domain,nameserver,ip,request,response,tc
2020.jaarverslagrechtspraak.nl,www.jaarverslagrechtspraak.nl.,,101,,
20210215.nationaleconferentieduurzamemobiliteit.nl,nationaleconferentieduurzamemobiliteit.nl.,,121,,
20210215.nationaleconferentieduurzamemobiliteit.nl,ns3.rijksoverheidnl.org.,145.100.177.67,121,187,
20210215.nationaleconferentieduurzamemobiliteit.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,121,187,
20210215.nationaleconferentieduurzamemobiliteit.nl,ns0.rijksoverheidnl.com.,185.136.96.82,121,303,
20210215.nationaleconferentieduurzamemobiliteit.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,121,187,
2todrive.nl,ns2.speak.nl.,185.146.216.84,82,192,
2todrive.nl,ns5.speak.nl.,136.144.222.49,82,192,
2todrive.nl,ns1.speak.nl.,185.146.216.83,82,328,
55plus.datawonen.nl,datawonen.nl.,,90,,
55plus.datawonen.nl,ns3.rijksoverheidnl.org.,145.100.177.67,90,179,
55plus.datawonen.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,90,179,
55plus.datawonen.nl,ns0.rijksoverheidnl.com.,185.136.96.82,90,295,
55plus.datawonen.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,90,179,
a16rotterdam.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,86,138,
a16rotterdam.nl,ns3.rijksoverheidnl.org.,145.100.177.67,86,138,
a16rotterdam.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,86,138,
a16rotterdam.nl,ns0.rijksoverheidnl.com.,185.136.96.82,86,254,
a1oost.nl,ns0.rijksoverheidnl.com.,185.136.96.82,80,248,
a1oost.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,80,132,
a1oost.nl,ns3.rijksoverheidnl.org.,145.100.177.67,80,132,
a1oost.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,80,132,
a27a12ringutrecht.nl,ns0.rijksoverheidnl.com.,185.136.96.82,91,340,
a27a12ringutrecht.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,91,224,
a27a12ringutrecht.nl,ns3.rijksoverheidnl.org.,145.100.177.67,91,224,
a27a12ringutrecht.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,91,224,
a27houtenhooipolder.nl,ns3.rijksoverheidnl.org.,145.100.177.67,93,145,
a27houtenhooipolder.nl,ns0.rijksoverheidnl.com.,185.136.96.82,93,261,
a27houtenhooipolder.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,93,145,
a27houtenhooipolder.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,93,145,
a28a1knooppunthoevelaken.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,98,150,
a28a1knooppunthoevelaken.nl,ns0.rijksoverheidnl.com.,185.136.96.82,98,266,
a28a1knooppunthoevelaken.nl,ns3.rijksoverheidnl.org.,145.100.177.67,98,150,
a28a1knooppunthoevelaken.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,98,150,
a4burgerveen-n14.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,90,142,
a4burgerveen-n14.nl,ns0.rijksoverheidnl.com.,185.136.96.82,90,258,
a4burgerveen-n14.nl,ns3.rijksoverheidnl.org.,145.100.177.67,90,142,
a4burgerveen-n14.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,90,142,
a4haaglanden-n14.nl,ns3.rijksoverheidnl.org.,145.100.177.67,90,142,
a4haaglanden-n14.nl,ns0.rijksoverheidnl.com.,185.136.96.82,90,258,
a4haaglanden-n14.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,90,142,
a4haaglanden-n14.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,90,142,
a58tilburgbreda.nl,ns3.rijksoverheidnl.org.,145.100.177.67,89,141,
a58tilburgbreda.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,89,141,
a58tilburgbreda.nl,ns0.rijksoverheidnl.com.,185.136.96.82,89,257,
a58tilburgbreda.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,89,141,
a6zonlelystaddronten.nl,ns3.rijksoverheidnl.org.,145.100.177.67,94,146,
a6zonlelystaddronten.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,94,146,
a6zonlelystaddronten.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,94,146,
a6zonlelystaddronten.nl,ns0.rijksoverheidnl.com.,185.136.96.82,94,262,
a7a8.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,78,130,
a7a8.nl,ns3.rijksoverheidnl.org.,145.100.177.67,78,130,
a7a8.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,78,130,
a7a8.nl,ns0.rijksoverheidnl.com.,185.136.96.82,78,246,
aanbiedersmedicijnen.nl,ns0.rijksoverheidnl.com.,185.136.96.82,94,282,
aanbiedersmedicijnen.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,94,166,
aanbiedersmedicijnen.nl,ns3.rijksoverheidnl.org.,145.100.177.67,94,166,
aanbiedersmedicijnen.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,94,166,
aandachtvoorelkaar.nl,ns3.rijksoverheidnl.org.,145.100.177.67,92,144,
aandachtvoorelkaar.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,92,144,
aandachtvoorelkaar.nl,ns0.rijksoverheidnl.com.,185.136.96.82,92,260,
aandachtvoorelkaar.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,92,144,
aandeslagmetdeomgevingswet.nl,ns3.rijksoverheidnl.org.,145.100.177.67,100,269,
aandeslagmetdeomgevingswet.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,100,269,
aandeslagmetdeomgevingswet.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,100,269,
aandeslagmetdeomgevingswet.nl,ns0.rijksoverheidnl.com.,185.136.96.82,100,385,
aaninhetdonker.nl,ns0.rijksoverheidnl.com.,185.136.96.82,88,256,
aaninhetdonker.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,88,140,
aaninhetdonker.nl,ns3.rijksoverheidnl.org.,145.100.177.67,88,140,
aaninhetdonker.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,88,140,
aanmelder.nl,ns-96.awsdns-12.com.,205.251.192.96,83,547,
aanmelder.nl,ns-695.awsdns-22.net.,205.251.194.183,83,547,
aanmelder.nl,ns-1294.awsdns-33.org.,205.251.197.14,83,547,
aanmelder.nl,ns-1992.awsdns-57.co.uk.,205.251.199.200,83,547,
aanpakadreskwaliteit.pleio.nl,odcn.pleio.nl.,,100,,
aanpaklerarentekort.nl,ns0.rijksoverheidnl.com.,185.136.96.82,93,261,
aanpaklerarentekort.nl,ns3.rijksoverheidnl.org.,145.100.177.67,93,145,
aanpaklerarentekort.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,93,145,
aanpaklerarentekort.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,93,145,
aanpakringzuid.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,88,215,
aanpakringzuid.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,88,215,
aanpakringzuid.nl,ns0.rijksoverheidnl.com.,185.136.96.82,88,331,
aanpakringzuid.nl,ns3.rijksoverheidnl.org.,145.100.177.67,88,215,
aanpakstikstof.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,88,140,
aanpakstikstof.nl,ns0.rijksoverheidnl.com.,185.136.96.82,88,256,
aanpakstikstof.nl,ns3.rijksoverheidnl.org.,145.100.177.67,88,140,
aanpakstikstof.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,88,140,
aanvragen.nza.nl,aanvragen.nza.nl.cname.mendix.net.,,87,,
aanvragen.nza.nl,elb.bbl-prod-2.eu-central-1.mendixcloud.net.,,87,,
aardgasvrijewijken.nl,ns1.dictu.nl.,145.12.216.1,92,283,
aardgasvrijewijken.nl,ns2.dictu.nl.,145.69.216.1,92,283,
abdleerportaal.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,88,140,
abdleerportaal.nl,ns0.rijksoverheidnl.com.,185.136.96.82,88,256,
abdleerportaal.nl,ns3.rijksoverheidnl.org.,145.100.177.67,88,140,
abdleerportaal.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,88,140,
aboutnetherlandscustoms.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,97,149,
aboutnetherlandscustoms.nl,ns3.rijksoverheidnl.org.,145.100.177.67,97,149,
aboutnetherlandscustoms.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,97,149,
aboutnetherlandscustoms.nl,ns0.rijksoverheidnl.com.,185.136.96.82,97,265,
academieinternationalebetrekkingen.nl,ns3.rijksoverheidnl.org.,145.100.177.67,108,160,
academieinternationalebetrekkingen.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,108,160,
academieinternationalebetrekkingen.nl,ns0.rijksoverheidnl.com.,185.136.96.82,108,276,
academieinternationalebetrekkingen.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,108,160,
academievoorinternationalebetrekkingen.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,112,164,
academievoorinternationalebetrekkingen.nl,ns3.rijksoverheidnl.org.,145.100.177.67,112,164,
academievoorinternationalebetrekkingen.nl,ns0.rijksoverheidnl.com.,185.136.96.82,112,280,
academievoorinternationalebetrekkingen.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,112,164,
academyforinternationalrelations.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,106,158,
academyforinternationalrelations.nl,ns0.rijksoverheidnl.com.,185.136.96.82,106,274,
academyforinternationalrelations.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,106,158,
academyforinternationalrelations.nl,ns3.rijksoverheidnl.org.,145.100.177.67,106,158,
academyinternationalrelations.nl,ns0.rijksoverheidnl.com.,185.136.96.82,103,271,
academyinternationalrelations.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,103,155,
